Origem;Valor R$;Destino;Data;Tipo
aluguel;R$ 2.500,00;Banco do Brasil;02/01/19;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;02/01/19;Saida
Outros cursos;R$ 100,00;Nubank;02/01/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;03/01/19;Saida
Presentes;R$ 1.200,00;Nubank;10/01/19;Saida
transporte;R$ 800,00;Banco do Brasil;03/01/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;02/02/19;Saida
Outros cursos;R$ 100,00;Nubank;02/02/19;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;02/02/19;Saida
decoracao e mobilia;R$ 1.300,00;Nubank;06/02/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/02/19;Saida
transporte;R$ 1.100,00;Banco do Brasil;01/02/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/03/19;Saida
Outros cursos;R$ 100,00;Banco do Brasil;02/03/19;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/03/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/03/19;Saida
Outros cursos;R$ 100,00;Nubank;02/03/19;Saida
alimentacao;R$ 460,00;Banco do Brasil;01/03/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/04/19;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/04/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/04/19;Saida
Outros cursos;R$ 100,00;Nubank;02/04/19;Saida
material;R$ 610,00;Banco do Brasil;01/04/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/05/19;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/05/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/05/19;Saida
Dentista;R$ 320,00;Banco do Brasil;01/05/19;Saida
Outros cursos;R$ 100,00;Nubank;02/05/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/06/19;Saida
Supermercado;R$ 1.340,00;Banco do Brasil;01/06/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/06/19;Saida
Outros cursos;R$ 100,00;Nubank;02/06/19;Saida
roupas;R$ 2.400,00;Banco do Brasil;01/06/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/07/19;Saida
Supermercado;R$ 1.490,00;Banco do Brasil;01/07/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/07/19;Saida
decoracao e mobilia;R$ 3.000,00;Banco do Brasil;01/07/19;Saida
Outros cursos;R$ 100,00;Nubank;02/07/19;Saida
Viagens;R$ 1.500,00;Nubank;10/07/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/08/19;Saida
Supermercado;R$ 980,00;Banco do Brasil;01/08/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/08/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/09/19;Saida
Outros cursos;R$ 100,00;Nubank;02/09/19;Saida
Supermercado;R$ 1.500,00;Banco do Brasil;01/09/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/09/19;Saida
transporte;R$ 340,00;Banco do Brasil;01/09/19;Saida
Cinema / Teatro / Shows;R$ 500,00;Banco do Brasil;01/09/19;Saida
Taxi/Uber;R$ 340,00;Banco do Brasil;01/09/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/10/19;Saida
Supermercado;R$ 1.090,00;Banco do Brasil;01/10/19;Saida
Outros cursos;R$ 100,00;Nubank;02/10/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/10/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/11/19;Saida
Supermercado;R$ 970,00;Banco do Brasil;01/11/19;Saida
Outros cursos;R$ 100,00;Nubank;02/11/19;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/11/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/12/19;Saida
Supermercado;R$ 990,00;Banco do Brasil;01/12/19;Saida
plano de saude;R$ 300,00;Banco do Brasil;01/12/19;Saida
Outros cursos;R$ 100,00;Nubank;02/12/19;Saida
aluguel;R$ 2.500,00;Banco do Brasil;02/01/20;Saida
Supermercado;R$ 1.150,00;Banco do Brasil;02/01/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;03/01/20;Saida
transporte;R$ 800,00;Banco do Brasil;03/01/20;Saida
aluguel;R$ 2.500,00;Banco do Brasil;02/02/20;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;02/02/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/02/20;Saida
transporte;R$ 800,00;Banco do Brasil;01/02/20;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/03/20;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/03/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/03/20;Saida
transporte;R$ 800,00;Banco do Brasil;01/03/20;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/04/20;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/04/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/04/20;Saida
transporte;R$ 800,00;Banco do Brasil;01/04/20;Saida
aluguel;R$ 2.500,00;Banco do Brasil;01/05/20;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/05/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/05/20;Saida
transporte;R$ 800,00;Banco do Brasil;01/05/20;Saida
aluguel;R$ 2.900,00;Banco do Brasil;01/06/20;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;01/06/20;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;01/06/20;Saida
transporte;R$ 800,00;Banco do Brasil;01/06/20;Saida
