Origem;Valor R$;Destino;Data;Tipo
salario;R$ 6.800,00;Banco do Brasil;1/01/2019;Entrada
bonus;R$ 300,00;Banco do Brasil;1/01/2019;Entrada
prestacao de servicos;R$ 1.200,00;Banco do Brasil;1/01/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/02/2019;Entrada
bonus;R$ 980,00;Banco do Brasil;1/02/2019;Entrada
prestacao de servicos;R$ 1.150,00;Banco do Brasil;1/02/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/03/2019;Entrada
bonus;R$ 320,00;Banco do Brasil;1/03/2019;Entrada
prestacao de servicos;R$ 2.200,00;Banco do Brasil;1/03/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/04/2019;Entrada
bonus;R$ 390,00;Banco do Brasil;1/04/2019;Entrada
prestacao de servicos;R$ 920,00;Banco do Brasil;1/04/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/05/2019;Entrada
bonus;R$ 480,00;Banco do Brasil;1/05/2019;Entrada
prestacao de servicos;R$ 1.240,00;Banco do Brasil;1/05/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/06/2019;Entrada
bonus;R$ 670,00;Banco do Brasil;1/06/2019;Entrada
prestacao de servicos;R$ 980,00;Banco do Brasil;1/06/2019;Entrada
bonus;R$ 2.500,00;Banco do Brasil;4/06/2019;Entrada
salario;R$ 6.800,00;Banco do Brasil;1/07/2019;Entrada
bonus;R$ 230,00;Banco do Brasil;1/07/2019;Entrada
prestacao de servicos;R$ 1.390,00;Banco do Brasil;1/07/2019;Entrada
salario;R$ 7.000,00;Banco do Brasil;1/08/2019;Entrada
bonus;R$ 120,00;Banco do Brasil;1/08/2019;Entrada
prestacao de servicos;R$ 340,00;Banco do Brasil;1/08/2019;Entrada
salario;R$ 7.000,00;Banco do Brasil;1/09/2019;Entrada
bonus;R$ 220,00;Banco do Brasil;1/09/2019;Entrada
prestacao de servicos;R$ 1.100,00;Banco do Brasil;1/09/2019;Entrada
salario;R$ 7.000,00;Banco do Brasil;1/10/2019;Entrada
bonus;R$ 320,00;Banco do Brasil;1/10/2019;Entrada
prestacao de servicos;R$ 890,00;Banco do Brasil;1/10/2019;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/11/2019;Entrada
bonus;R$ 210,00;Banco do Brasil;1/11/2019;Entrada
prestacao de servicos;R$ 970,00;Banco do Brasil;1/11/2019;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/12/2019;Entrada
bonus;R$ 2.500,00;Banco do Brasil;1/12/2019;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/01/2020;Entrada
prestacao de servicos;R$ 1.200,00;Banco do Brasil;1/01/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/02/2020;Entrada
prestacao de servicos;R$ 1.400,00;Banco do Brasil;1/02/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/03/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/04/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/05/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/06/2020;Entrada
bonus;R$ 3.100,00;Banco do Brasil;3/06/2020;Entrada
salario;R$ 7.200,00;Banco do Brasil;1/07/2020;Entrada
salario;R$ 7.300,00;Banco do Brasil;1/08/2020;Entrada
aluguel;R$ 2.500,00;Banco do Brasil;2/01/2019;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;2/01/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/01/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;3/01/2019;Saida
Presentes;R$ 1.200,00;Nubank;10/01/2019;Saida
transporte;R$ 800,00;Banco do Brasil;3/01/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;2/02/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/02/2019;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;2/02/2019;Saida
decoracao e mobilia;R$ 1.300,00;Nubank;6/02/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/02/2019;Saida
transporte;R$ 1.100,00;Banco do Brasil;1/02/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/03/2019;Saida
Outros cursos;R$ 100,00;Banco do Brasil;2/03/2019;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/03/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/03/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/03/2019;Saida
alimentacao;R$ 460,00;Banco do Brasil;1/03/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/04/2019;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/04/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/04/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/04/2019;Saida
material;R$ 610,00;Banco do Brasil;1/04/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/05/2019;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/05/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/05/2019;Saida
Dentista;R$ 320,00;Banco do Brasil;1/05/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/05/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/06/2019;Saida
Supermercado;R$ 1.340,00;Banco do Brasil;1/06/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/06/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/06/2019;Saida
roupas;R$ 2.400,00;Banco do Brasil;1/06/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/07/2019;Saida
Supermercado;R$ 1.490,00;Banco do Brasil;1/07/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/07/2019;Saida
decoracao e mobilia;R$ 3.000,00;Banco do Brasil;1/07/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/07/2019;Saida
Viagens;R$ 1.500,00;Nubank;10/07/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/08/2019;Saida
Supermercado;R$ 980,00;Banco do Brasil;1/08/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/08/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/09/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/09/2019;Saida
Supermercado;R$ 1.500,00;Banco do Brasil;1/09/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/09/2019;Saida
transporte;R$ 340,00;Banco do Brasil;1/09/2019;Saida
Cinema / Teatro / Shows;R$ 500,00;Banco do Brasil;1/09/2019;Saida
Taxi/Uber;R$ 340,00;Banco do Brasil;1/09/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/10/2019;Saida
Supermercado;R$ 1.090,00;Banco do Brasil;1/10/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/10/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/10/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/11/2019;Saida
Supermercado;R$ 970,00;Banco do Brasil;1/11/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/11/2019;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/11/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/12/2019;Saida
Supermercado;R$ 990,00;Banco do Brasil;1/12/2019;Saida
plano de saude;R$ 300,00;Banco do Brasil;1/12/2019;Saida
Outros cursos;R$ 100,00;Nubank;2/12/2019;Saida
aluguel;R$ 2.500,00;Banco do Brasil;2/01/2020;Saida
Supermercado;R$ 1.150,00;Banco do Brasil;2/01/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;3/01/2020;Saida
transporte;R$ 800,00;Banco do Brasil;3/01/2020;Saida
aluguel;R$ 2.500,00;Banco do Brasil;2/02/2020;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;2/02/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/02/2020;Saida
transporte;R$ 800,00;Banco do Brasil;1/02/2020;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/03/2020;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/03/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/03/2020;Saida
transporte;R$ 800,00;Banco do Brasil;1/03/2020;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/04/2020;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/04/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/04/2020;Saida
transporte;R$ 800,00;Banco do Brasil;1/04/2020;Saida
aluguel;R$ 2.500,00;Banco do Brasil;1/05/2020;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/05/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/05/2020;Saida
transporte;R$ 800,00;Banco do Brasil;1/05/2020;Saida
aluguel;R$ 2.900,00;Banco do Brasil;1/06/2020;Saida
Supermercado;R$ 1.200,00;Banco do Brasil;1/06/2020;Saida
plano de saude;R$ 1.000,00;Banco do Brasil;1/06/2020;Saida
transporte;R$ 800,00;Banco do Brasil;1/06/2020;Saida
